dataset_reg_id,dataset_name,dataset_description,dataset_type,cloud_id,data_source_system,dataset_layer,dataset_classification_type,topic,topic_category,business_owner,technical_poc,s3_buket,structured_data,cloud_database_name,table_name,file_format,refresh_type,refresh_frequency,dataset_data_retention_period
DSET000114,Financial Transaction Records,"This table contains detailed records of financial transactions between various organizations and individuals, including transaction amounts, dates, and types.",EDL,BPO02236,Financial Transactions,S3,External,Financial Transactions Analysis,Financial Data Analysis,anya@gmail.com,xyz@gmail.com,s3-us-east-1,Structured,financial_transactions_db,fin_transaction_records,PARQUET,Incremental,Monthly,5 years
DSET000115,Customer Satisfaction Survey Data,This dataset includes responses from customer satisfaction surveys conducted quarterly to gather feedback on product and service satisfaction levels.,EDL,BPO02237,Customer Feedback,S3,External,Customer Satisfaction Analysis,Customer Feedback Data,john.doe@gmail.com,jane.doe@gmail.com,s3-us-east-1,Structured,customer_feedback_db,customer_survey_data,PARQUET,Incremental,Quarterly,3 years
DSET000113,Synthetic Marketing Data,This dataset contains synthetic data generated for marketing analysis and segmentation purposes.,EDL,BPO02235,Marketing Analytics,S3,External,Marketing Analysis,Marketing Data,marketing.team@gmail.com,analytics.team@gmail.com,s3-us-east-1,Structured,marketing_analytics_db,synthetic_marketing_data,PARQUET,Incremental,Weekly,2 years
DSET000116,Operational Efficiency Metrics,"This dataset provides insights into the operational efficiency of a company, including key performance indicators and metrics related to production, logistics, and resource utilization.",EDL,BPO02238,Operational Efficiency Tracking,S3,External,Operational Efficiency Analysis,Business Performance Data,operations.manager@gmail.com,analytics.support@gmail.com,s3-us-east-1,Structured,operational_metrics_db,operational_efficiency_metrics,PARQUET,Incremental,Bi-weekly,4 years
DSET000118,Financial Fraud Detection Data,This dataset contains synthetic data generated for detecting financial fraud and fraudulent activities within a financial institution.,EDL,BPO02239,Fraud Detection System,S3,External,Fraud Detection Analysis,Financial Data,finance.team@gmail.com,analytics.team@gmail.com,s3-us-east-1,Structured,fraud_detection_db,financial_fraud_data,PARQUET,Incremental,Monthly,5 years
DSET000120,Enigmatic Customer Behavior Insights,This dataset contains synthetic data generated to analyze and understand enigmatic customer behavior patterns for strategic decision-making in marketing and sales processes.,EDL,BPO02240,Customer Behavior Analytics,S3,External,Customer Behavior Analysis,Marketing and Sales Data,insights.team@gmail.com,analytics.support@gmail.com,s3-us-east-1,Structured,customer_insights_db,customer_behavior_insights,PARQUET,Full,Quarterly,3 years
DSET000119,Innovative Supply Chain Optimization Data,This dataset contains synthetic data generated to optimize supply chain operations and improve efficiency in the flow of goods and services within a company.,EDL,BPO02241,Supply Chain Management System,S3,External,Supply Chain Optimization,Logistics Data,supply.chain@gmail.com,analytics.engineer@gmail.com,s3-us-east-1,Structured,supply_chain_db,supply_chain_optimization_data,PARQUET,Full,Bi-annual,2 years
DSET000123,Mystical Energy Consumption Analysis Data,This dataset contains synthetic data generated for analyzing mystical energy consumption patterns and trends for mystical energy sources.,EDL,BPO02242,Mystical Energy Analytics,S3,External,Mystical Energy Consumption Analysis,Energy Data,energy.analytics@gmail.com,mystical.energy.team@gmail.com,s3-us-east-1,Structured,mystical_energy_db,energy_consumption_data,PARQUET,Incremental,Monthly,4 years
DSET000125,Whimsical Textile Production Insights,This dataset contains synthetic data generated to analyze and understand whimsical textile production trends and insights for strategic decision-making in the fashion industry.,EDL,BPO02243,Textile Production Analytics,S3,External,Textile Production Analysis,Fashion Industry Data,textile.insights@gmail.com,analytics.expert@gmail.com,s3-us-east-1,Structured,textile_production_db,textile_production_insights,PARQUET,Full,Quarterly,3 years
DSET000127,Cryptic Market Analysis Data,This dataset contains synthetic data generated for analyzing cryptic market trends and patterns for mysterious financial assets and investments.,EDL,BPO02244,Cryptic Market Analytics,S3,External,Cryptic Market Analysis,Financial Data,cryptic.market@gmail.com,data.analysis.team@gmail.com,s3-us-east-1,Structured,cryptic_market_db,market_analysis_data,PARQUET,Incremental,Weekly,5 years
